VARIABLES =      SA                    DA                    DA_kink               AR                    TR                    kink                  rootadj               rtcs_0                rtcs_1                rtcs_2                cambers_0             cambers_1             cambers_2             twists_0              twists_1              twists_2              twists_3              U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    tcroot                M30                   M31                   M32                   M33                   M34                   M35                   M36                   M37                   AA0                   AA1                   AA2                   AA3                   AA4                   AA5                   AA6                   AA7                   
   2316         28.9820206681          5.4549021194          2.7460927882          9.2409298614          0.3366106741          0.4063322262          0.4201902079          0.6057595691          0.9714824151          0.9223861422          0.3661217089          0.7348846222          0.7876485211         -2.6974912743         -3.3256087737         -1.3443069452         -1.1150141428          0.1499542283          0.1010282125          0.2688104242         -0.0537945551          0.5388752625         -0.2711313140          0.6434558322          0.0571210820          0.1084419715          0.4809330693         -0.1501267760         -0.0447884467         -0.2586492771          0.0602676501         -0.3733248688          0.0217616803         -0.2252956718         -0.1033602759          0.0860834571          0.2719732084          0.1528961534          0.8379355889          0.8266841475          0.8415059759          0.8405151463          0.8492717936          0.8478635003          0.8342425194          0.8408522402         11.1009746399          7.9440730320          8.9938752832         10.9204072620          4.7573564325          2.8862853211          2.7515349829         10.0117382648 
   2317         26.0857342423          5.6736195228          3.9041930176         10.5777256189          0.1975956848          0.3917655551          0.3258447802          0.6889471167          0.9255533235          0.9826337509          0.5391054635          0.9756034248          0.2490500220         -3.0046337513         -2.3997044506         -2.4182472892         -2.4659822455          0.1769047521          0.0815250187          0.3250830773         -0.0800374703          0.4647597913         -0.0700562172          0.3922275217          0.1366780849          0.2702446286          0.2515633732         -0.1501389510         -0.0447921757         -0.2579444229          0.0605576445         -0.3726738695          0.0212326626         -0.2253140381         -0.1033769265          0.0859470627          0.2698421548          0.1569797118          0.8458287225          0.8444845157          0.8391612171          0.8372984792          0.8343050350          0.8432861457          0.8497486636          0.8368771870          6.0478309532          3.7577527803          4.4565655598          5.4691828484          8.8604906099          3.4640738428          8.3304631384         10.9228975661 
   2318         32.5316415419          4.2181966709          1.6500334832         10.5546747926          0.1595865699          0.3916708479          0.2394504283          0.6857784338          0.9602676332          0.9961903334          0.5423395333          0.9989897869          0.5232496813         -2.4718248184         -2.7711220125         -2.1098390527         -1.4095073486          0.1273929691          0.0858583117          0.2015165552         -0.0146145821          0.3922010032         -0.1638392729          0.5376718929         -0.0234427451          0.3039388662          0.2414023760         -0.1252278672         -0.0375975569         -0.2149536857          0.0506848950         -0.3107897420          0.0176807249         -0.1878783844         -0.0861474387          0.0716204936          0.2251468319          0.1535581945          0.8359265148          0.8406609152          0.8431583175          0.8280394918          0.8484267845          0.8371580376          0.8348823781          0.8286451803          3.7402082553          6.7650958566          8.3889572694          3.4598040605          6.9066066646          5.5050313111          7.8558583233          9.6922051286 
   2319         36.8531088925          4.3738710293          1.0993493225          9.8906364257          0.2925165340          0.3681146617          0.4325993981          0.6238166717          0.9568722492          0.9573403754          0.3860369353          0.5444571244          0.3388808017         -3.3145423363         -3.8477013048         -2.8072528641         -1.5571703207          0.1916865199          0.0716181772          0.1725949545          0.1109472136          0.1918250523          0.0653278022          0.3262883302          0.0153802458          0.4490015052          0.2949242950         -0.1251157925         -0.0373268131         -0.2139001428          0.0502369706         -0.3109543136          0.0176807249         -0.1879719719         -0.0861474387          0.0716070472          0.2248684623          0.1556744479          0.8299737021          0.8305324296          0.8473039870          0.8385438202          0.8300902615          0.8359778441          0.8305219783          0.8471567371          2.2437713956          3.1048005479          3.4408044068          9.4717698928          8.5070979006          6.5349295011          4.2796080492          5.4987074840 
   2320         39.8309278976          4.7737842807          1.5401075761          8.2027059911          0.2521038475          0.3655094732          0.6344537339          0.6272221248          0.9711941149          0.9525524285          0.3773340588          0.8846817117          0.3378462247         -2.5003263911         -2.2126902895         -1.7435865349         -2.5034386633          0.1877454244          0.0926837859          0.2664903153         -0.0139936602          0.4211447654         -0.0608840689          0.4466864797          0.1309499405          0.2638812150          0.2877749902         -0.1517983016         -0.0400760303         -0.2652120406          0.0736817326         -0.3840361177          0.0304806073         -0.2327030775         -0.1059363454          0.0930620677          0.2811261006          0.1574603200          0.8307225693          0.8494772323          0.8484568608          0.8255915386          0.8324134328          0.8404135560          0.8372339219          0.8285664400          2.4888965996         11.3576461911          9.8811956668          4.3491742553         11.6566261860          9.8492769198          6.7256421933          3.5892845357 
   2321         28.1607294582          5.2794612305          1.7757938973          9.2341230444          0.1701564045          0.3645490811          0.3007939037          0.6688835359          0.9309192673          0.9718021477          0.7843523794          0.8479832213          0.1168489754         -3.0371744752         -3.4874543955         -2.3030181134         -2.7483105297          0.2035609612          0.1175280704          0.2045173403          0.1327322052          0.1983555507          0.1933208437          0.2083480793          0.1353020239          0.3215905650          0.3209369932         -0.1501389510         -0.0447921757         -0.2579444229          0.0601758260         -0.3726738695          0.0212168698         -0.2256519058         -0.1033769265          0.0859284567          0.2698421548          0.1559962350          0.8349673835          0.8346073626          0.8473173276          0.8286796097          0.8254211851          0.8380075136          0.8276043638          0.8397895648          7.5886731664          8.2544546543          6.7113108863          6.3219680708          7.8175600044          3.8946786713          3.1621099571          5.2762876020 
   2322         39.5884048665          4.2401782223          4.3359352785          8.0578813149          0.2802894787          0.3717250979          0.4894064365          0.6754356558          0.9087491832          0.9262430565          0.3870297429          0.9223066779          0.1850165880         -2.9787006433         -2.9238283584         -2.4845007106         -2.4226135139          0.1718356309          0.0917903652          0.2126609139          0.0478903067          0.3060171322          0.0208861521          0.3120595590          0.1317378183          0.2582259662          0.2783768097         -0.1401718924         -0.0401789073         -0.2384706788          0.0557585990         -0.3445506629          0.0193847882         -0.2083988967         -0.0956160460          0.0796959277          0.2495100246          0.1543893035          0.8370280320          0.8448136843          0.8358456296          0.8349363142          0.8349341563          0.8424645707          0.8413601301          0.8425943652          3.4563627666         10.9751247242          3.7854450965          2.6473242103          8.2521065167          6.6869977363         11.1467694829         10.1786365162 
   2323         29.2695436402          5.6294470301          1.2757769722         10.7519124592          0.3994756158          0.3695853676          0.2876806385          0.6717882561          0.9670557912          0.9975547652          0.6168962187          0.6682011939          0.1650698153         -3.2101215001         -3.4605633732         -1.2050262741         -2.9067292457          0.1517263539          0.0998245653          0.2709440538         -0.0549189344          0.5369275690         -0.2660534111          0.6368117189          0.0591164271          0.1118741464          0.4726348360         -0.1501389510         -0.0447921757         -0.2585924935          0.0602843647         -0.3733054168          0.0217307321         -0.2253140381         -0.1033769265          0.0858913492          0.2718643248          0.1520310903          0.8254740823          0.8451435710          0.8460085423          0.8487595366          0.8457217332          0.8281615389          0.8297261385          0.8320213198          9.4078770810          4.0886496226          9.8610366543          2.8006711386          5.3979291693          9.8189120115          8.6218167892         11.3607276566 
   2324         26.2577900022          4.5851691374          1.2810629276         10.6011047629          0.3447922207          0.3646520293          0.3212532372          0.6480641314          0.9042328837          0.9803199548          0.4293090610          0.8358250877          0.3845729242         -3.2274310161         -2.7270816269         -2.7746381086         -2.8316083677          0.1489979143          0.1285402549          0.1859742253         -0.0826141756          0.6019730056         -0.2625395819          0.4424834482          0.2260102804          0.2696429454          0.1318154456         -0.1279841031         -0.1370701136         -0.1357065261         -0.1636721306         -0.1798020127         -0.1534454187         -0.0987278314         -0.0614368193         -0.0517082179          0.0720570246          0.1534778821          0.8332324186          0.8424702956          0.8300365813          0.8496263323          0.8474748345          0.8449389896          0.8422466288          0.8470837833         11.2283647552          8.2942588304          9.0466702773          4.9468946148          5.9068228260          4.8558374896          4.9867375050          6.3917251513 
   2325         36.4616271117          4.2059963074          5.1667299965         10.2118001932          0.3194858040          0.4091479430          0.4214801035          0.6453408064          0.9109989547          0.9946350776          0.6863995461          0.7218943337          0.6668344648         -2.3226820532         -2.1846659060         -1.9706945202         -2.2335881697          0.1793706677          0.1015538507          0.2749291580         -0.0604909978          0.5488156021         -0.2910302215          0.6687380019          0.0472386238          0.0769617879          0.4251177761         -0.1501389510         -0.0447921757         -0.2582722299          0.0602843647         -0.3726738695          0.0212168698         -0.2253140381         -0.1043606499          0.0859284567          0.2713865374          0.1546041991          0.8421790591          0.8410238050          0.8344174483          0.8408150668          0.8405954694          0.8361217223          0.8494721558          0.8453585229         10.7324980181          8.2920301907          7.4476291243         11.5411928712          7.5639947887         10.5815787656          4.5461872121          5.0849361052 
   2326         26.8466582408          5.8465036072          4.1792288909          8.3121736019          0.1659713349          0.4040818817         -0.0540750928          0.6052255934          0.9658919742          0.9747114898          0.7098608990          0.6929052039          0.7700116160         -3.8955220949         -2.3105301197         -2.5826069436         -2.1856572962          0.1797498463          0.1015054961          0.2749291580         -0.0604909978          0.5488497253         -0.2910302215          0.6679760253          0.0469430236          0.0769617879          0.4251177761         -0.1501389510         -0.0447921757         -0.2582722299          0.0602843647         -0.3726738695          0.0212168698         -0.2253140381         -0.1039636597          0.0847346393          0.2691871610          0.1541486977          0.8319090645          0.8285232907          0.8297450220          0.8326372801          0.8385099655          0.8433793178          0.8357578440          0.8469316676          3.1580138615          3.4921325910         10.3477567084          6.6031106238          5.6032918419          2.5796198783          4.0188789876          9.4606485755 
   2327         28.1356899969          4.9821528276          5.1618947987          8.4939581583          0.3747763133          0.3990216250          0.4446319781          0.6656002592          0.9668983378          0.9807801032          0.4385515378          0.9241213312          0.6485568018         -2.4846133363         -2.6286989967         -1.4452794367         -1.6563099237          0.0968877454          0.1117551429          0.2775968804         -0.1591911908          0.7842618652         -0.5845308184          0.8929189748         -0.1014331773          0.4206947896          0.2259947630         -0.1504596525         -0.0437502008         -0.2584893651          0.0604117048         -0.3743038576          0.0205963234         -0.2257900442         -0.1035953241          0.0861099921          0.2704122326          0.1564731580          0.8369109265          0.8390740534          0.8447545938          0.8436710090          0.8289551730          0.8287049961          0.8263942730          0.8337951701          8.1243283121          2.6473065930          5.1035397959          6.6087438938          4.2808730119          3.2990534701          5.7748262568          6.5019258550 
   2328         25.7230591817          5.2433033993          1.3500976509          9.3660087351          0.3219430345          0.4106590689          0.5796996217          0.6790713913          0.9018007789          0.9313178123          0.7792333642          0.7016267324          0.6543338885         -3.6162477727         -3.3589675094         -2.5046667403         -1.4629077399          0.1873974264          0.0555320448          0.1713234419          0.1061845484          0.1514288484          0.1023167820          0.3186771326          0.0217528929          0.4743170325          0.2905009207         -0.1225324960         -0.0366019078         -0.2024554042          0.0488306136         -0.3043376113          0.0170455927         -0.1865651806         -0.0745906067          0.0702161369          0.2174870526          0.1561466807          0.8252615144          0.8494018720          0.8294047739          0.8342130677          0.8312477716          0.8402916366          0.8250640645          0.8492245195          2.6392435920          3.2552901582          5.2772185929          8.6837573421          8.6257823853          4.7012112881          5.5828733032         10.6844551919 
   2329         34.0821185018          5.9730910050          2.7897571521         10.8832316449          0.1792302997          0.3940034069          0.4728242978          0.6859248967          0.9736195872          0.9692451388          0.4845785607          0.7984105319          0.0425551328         -3.0385293278         -3.4397285271         -1.1170361727         -2.2708761795          0.1873974264          0.0559949951          0.1713234419          0.1071284555          0.1514288484          0.1023167820          0.3193680429          0.0214381103          0.4756586149          0.2909079185         -0.1225324960         -0.0366019078         -0.2035275739          0.0492516365         -0.3043376113          0.0173195049         -0.1868385174         -0.0747031560          0.0702161369          0.2174870526          0.1563944158          0.8353373623          0.8303066889          0.8281535588          0.8390129071          0.8335386225          0.8435458912          0.8444054593          0.8358491971          3.2734004180          3.4046594761          8.2000139803         11.8996365983          3.2422131735          9.9316890267          7.5076264022          5.2151295064 
   2330         36.5483611897          4.8924793675          2.5696098131          9.4140855582          0.2311680470          0.4094674258          0.4982167913          0.6983240232          0.9365353136          0.9301804984          0.3677478123          0.7507725913          0.5134316458         -3.0799100099         -2.1039318904         -1.2877398394         -1.0822220250          0.1301400125          0.1240673331          0.2204559008         -0.0203396402          0.3888609525         -0.0157115224          0.3408331788          0.0822234076          0.2402508630          0.2641709274         -0.1376273717         -0.0410594944         -0.2364490543          0.0549103702         -0.3416177137          0.0193446199         -0.2065378682         -0.0947621826          0.0787677519          0.2473553085          0.1579588654          0.8383298848          0.8396539260          0.8470133668          0.8303319724          0.8292839160          0.8475425086          0.8409400283          0.8453795544         10.3059603167          5.4119448177          4.6946756000          2.1458343684          6.2480359896          7.0577363618         10.8499713801          7.9004984797 
   2331         37.7083006397          4.3454855945          4.0228062304          8.1041990711          0.2380829288          0.4093018296          0.6156169341          0.6473853681          0.9773807690          0.9498802659          0.4063956046          0.9969574890          0.3534115626         -2.5541724575         -3.1481763015         -2.7086476500         -2.8808979675          0.1564846109          0.1554560348          0.1971664419          0.0716290282          0.3437606875          0.0436758665          0.2306443001          0.2236915677          0.2508199722          0.2809285027         -0.1501389510         -0.0444132610         -0.2578780792          0.0604068832         -0.3726738695          0.0214234158         -0.2254173005         -0.1032671916          0.0859284567          0.2697103345          0.1545230020          0.8437144385          0.8296086825          0.8381382095          0.8472369669          0.8333104182          0.8449019363          0.8301177870          0.8252517734          3.7283902956          2.9479424405          4.2065384338          2.0451492023          9.4847033618          8.6728977383          6.6195577576          3.2303051947 
   2332         28.1013157499          4.7258065374          0.6143136990          8.3473155900          0.2447476057          0.4097637433          0.0943893896          0.6340463044          0.9545287227          0.9841761619          0.4235205741          0.8082908514          0.2031593701         -2.1019569686         -3.7957593579         -1.0277402793         -2.3143126107          0.1796812914          0.1016739740          0.2760855444         -0.0627434547          0.5532149362         -0.3011059344          0.6788951062          0.0411143479          0.0684295357          0.4319008043         -0.1501389510         -0.0448751615         -0.2579408976          0.0602843647         -0.3726738695          0.0212496815         -0.2251965713         -0.1033769265          0.0859284567          0.2698835040          0.1553002895          0.8483923477          0.8328854063          0.8351534845          0.8365037397          0.8495889227          0.8374615542          0.8472020864          0.8372919785          2.6353044949          9.8362259496          2.4268543440          4.4436683696          2.7026279701          8.6528692957          4.9315035631          2.1197609330 
   2333         27.3015875754          4.8990769009          2.0775123649         10.8427245300          0.3563825339          0.3927785537          0.3931822017          0.6279596780          0.9273456648          0.9345765517          0.7265635846          0.5906466482          0.4033559490         -2.5240744791         -3.5600345592         -1.1825276815         -2.8347543552          0.1895342212          0.0656747426          0.1651277276          0.1388223838          0.1550513905          0.0762394796          0.3181659811          0.0214381103          0.4617927362          0.2909079185         -0.1226778949         -0.0366019078         -0.2107783801          0.0492516365         -0.3045185088          0.0172511876         -0.1842005995         -0.0841498945          0.0702161369          0.2205000398          0.1560495210          0.8281758962          0.8271743503          0.8329563746          0.8422468556          0.8356992372          0.8320751223          0.8461524209          0.8267250731          6.9234521646          7.2005551518          9.7270843024         10.3844493660          8.3146941304         10.9569419214          7.4053347117         11.7156405720 
   2334         29.8415422517          4.8882964751          5.0016437567          9.9847716158          0.2426969421          0.3858561083          0.3960105630          0.6230504664          0.9614591925          0.9288890567          0.5348995336          0.6670661669          0.7945830269         -2.0081192755         -2.3508864294         -2.4666587054         -1.4760285267          0.1860850741          0.0916452624          0.1357633500          0.1690428138          0.1133064999          0.1573974921          0.2303399873          0.1239976739          0.3548791779          0.2837509297         -0.1251303286         -0.0373311498         -0.2149786624          0.0502428072         -0.3105976392          0.0176827790         -0.1877835127         -0.0861574474          0.0716153666          0.2248947396          0.1552411379          0.8298315002          0.8254884978          0.8306587654          0.8438068316          0.8444706840          0.8380787797          0.8415246567          0.8325477318          2.9811221940          8.9093905867          3.6993680617          3.4642065882          5.1730439687         10.0167303730          4.8452159685          4.3800270858 
   2335         35.2695814254          4.3069171674          1.9735196599          8.0778727077          0.3248388253          0.3875652679          0.3230752076          0.6102413332          0.9197376906          0.9396172828          0.7849204527          0.5234608130          0.5052693832         -3.1517065373         -2.8527743853         -1.6482666879         -1.9606732592          0.1896676197          0.0656747426          0.1640397225          0.1372656054          0.1532248253          0.0762394796          0.3181659811          0.0214381103          0.4624600583          0.2909079185         -0.1225324960         -0.0366019078         -0.2107783801          0.0492516365         -0.3043376113          0.0173195049         -0.1858886057         -0.0839882339          0.0702161369          0.2205000398          0.1522010785          0.8433667341          0.8458522517          0.8338270096          0.8258235799          0.8334182627          0.8432982740          0.8395512748          0.8481109434          4.2911589846          7.0092102598          4.6080719529          4.1903789599          4.5996689695          4.6913626512          4.0258765187          7.1991795898 
   2336         35.9165445128          4.9313983100          1.9910006384          8.5571805227          0.1972891754          0.4095447981          0.6636122964          0.6484227792          0.9231009042          0.9623718546          0.3155871723          0.6385238627          0.3329093337         -3.5235539700         -3.0568565289         -1.1167846235         -1.0587053237          0.1449371556          0.1307327346          0.1832331470         -0.0923648533          0.6248884036         -0.2910723857          0.4631442707          0.2179599126          0.2687420621          0.1194584985         -0.1272572680         -0.1400563817         -0.1318489765         -0.1706993244         -0.1735081610         -0.1591450503         -0.0948901558         -0.0596508752         -0.0560536540          0.0655958010          0.1535012876          0.8280560432          0.8430107695          0.8461900838          0.8496146620          0.8385545411          0.8251644695          0.8375559452          0.8494273101          3.9122016056          9.2668883557          2.1089924844          7.7684410337          2.8810818899          4.0738129856          4.5544036528          9.1647764382 
   2337         31.6552045215          4.2478970676          3.5464290339          9.8683552248          0.2516732708          0.4156013617          0.5344480058          0.6116345558          0.9421100035          0.9474258117          0.6385610106          0.7442967516          0.2360570266         -3.3752001763         -2.2930220076         -1.4103951978         -2.3345536863          0.1213698663          0.1430328302          0.1923304495         -0.1974656659          0.8303593592         -0.4670994545          0.5349241048          0.2808470874          0.2371047780          0.0424035297         -0.1260217712         -0.1782691665         -0.0971530201         -0.2542875811         -0.1165381018         -0.2262985852         -0.0576845052         -0.0483220295         -0.1054507555          0.0019173823          0.1563327650          0.8334469640          0.8389703515          0.8435332840          0.8392103839          0.8298336321          0.8261707207          0.8307583788          0.8410893143          2.4903817662          7.7622096382          8.1955425310         11.2839602808         10.7109127886         11.8495690172          8.0672761340          4.7278513072 
   2338         25.7103350823          4.0075433127          5.1189891180         10.4192198914          0.2661036537          0.3786689322          0.1978304341          0.6079236468          0.9340049292          0.9384185944          0.5703540752          0.8716471975          0.7492851430         -3.1338638090         -3.8482904600         -2.5626488602         -1.9545313782          0.1656752831          0.0896086822          0.1987622762          0.0781912303          0.2660307281          0.0685607712          0.2815231449          0.1402495707          0.2482703073          0.2704517840         -0.1372320120         -0.0408510515         -0.2361605968          0.0563562005         -0.3433712535          0.0233230434         -0.2099933565         -0.0913488607          0.0748356608          0.2491153045          0.1552425573          0.8262623716          0.8470531120          0.8460557686          0.8276294060          0.8332418864          0.8406575772          0.8322122778          0.8386465005          9.5665063177          5.2278735260          4.1622185166         11.0973421387          4.7444773761          3.8717568757          8.4269519237          6.5501820309 
   2339         37.1394006145          5.7946560044          3.3439383383          8.2932938244          0.2846637349          0.3968262486          0.5235748329          0.6288686411          0.9320576888          0.9657123494          0.7304357497          0.9062008300          0.2924110886         -2.8415801588         -2.7653199605         -1.3859519429         -2.9989586369          0.1945902264          0.1088038605          0.1160649028          0.2101650542          0.1045501047          0.0482395503          0.4482897862         -0.0885890441          0.4438652045          0.2726905828         -0.1262837480         -0.0374749074         -0.2151735242          0.0501733233         -0.3094530091          0.0176807249         -0.1879027107         -0.0861474387          0.0725515152          0.2248684623          0.1545721569          0.8393938749          0.8497743852          0.8418529654          0.8333718289          0.8387080762          0.8284776914          0.8412230160          0.8398321420         11.1784410763          7.9644074057         11.1282748122          7.1878967217          3.6982028621         10.2641583911          7.9062116582          3.7743530046 
   2340         27.2141539017          5.9657185258          3.3924897560          8.7766336401          0.2896016552          0.3846431541          0.3433953533          0.6367470948          0.9186246976          0.9276852120          0.6488104283          0.9586214855          0.1085767063         -3.6680420848         -3.5056720108         -1.8338659610         -2.8825492296          0.1483986759          0.0969362200          0.2326268052          0.0039910387          0.3533124630         -0.0135249600          0.3722038517          0.0950655877          0.2813261087          0.2969735790         -0.1379792894         -0.0410594944         -0.2363084568          0.0552606676         -0.3424371241          0.0192113575         -0.2063725127         -0.0947621826          0.0787677519          0.2458461326          0.1537092808          0.8311126081          0.8440050286          0.8452432442          0.8429822963          0.8348399397          0.8363299529          0.8444894286          0.8438436722          7.9850690625          8.0173621980          3.0262998312          3.2961603038         10.1738393024         10.9753916249          4.6495139338          9.2941317908 
   2341         29.4090186885          4.6523602573          2.1555775199         10.3810261790          0.3235621453          0.3721053537          0.4744474772          0.6019437988          0.9621514050          0.9883299491          0.3818897981          0.8183272008          0.4190875969         -3.9829304184         -2.8557285300         -1.1098576814         -1.3313505643          0.1724184790          0.0944945030          0.2105315707          0.0526093821          0.2965592520          0.0045771178          0.3123769475          0.1386103891          0.2543142679          0.2750334666         -0.1388752126         -0.0403613854         -0.2385821598          0.0557617055         -0.3458385464          0.0280140705         -0.2140922031         -0.0903670685          0.0978044553          0.2495921917          0.1624538640          0.8392922695          0.8375459389          0.8453030453          0.8450116981          0.8286416411          0.8303026094          0.8443798180          0.8313187179          7.5826221819         11.3954197329          6.3688548154         10.7867670279          2.5918761549          6.7765526060          4.6563458011          9.5680585531 
   2342         39.7295107923          5.3755881099          3.4733040127          8.8247336015          0.3041327767          0.3874201872          0.6161349200          0.6677564435          0.9761924511          0.9521739717          0.6022883639          0.6045350398          0.5255855728         -2.8485293980         -2.3199305558         -2.2019571434         -1.6455087569          0.1724184790          0.0937219633          0.2110191119          0.0526093821          0.2926148189          0.0378824938          0.2950184227          0.1381593482          0.2617871235          0.2744195798         -0.1388752126         -0.0413368217         -0.2386152600          0.0551884622         -0.3447150957          0.0202713600         -0.2083138797         -0.0954646554          0.0795992529          0.2495921917          0.1629796843          0.8286426442          0.8273209027          0.8498056689          0.8373746797          0.8436585708          0.8369959337          0.8304710520          0.8259226589          2.8081070222          4.4675639032          4.6081264268          5.7413219312          4.1429210302          3.3138657707          5.5848643204          2.5847737233 
   2343         28.7296675346          5.9970506799          5.8802367662          9.0570599270          0.3091304281          0.3662190350          0.2518559771          0.6964650490          0.9012389259          0.9622641662          0.3745562947          0.7864059995          0.0140585901         -2.3830492500         -3.4999471963         -2.5999021687         -2.8394562116          0.1724184790          0.0944945030          0.2110191119          0.0526093821          0.2965592520          0.0378824938          0.2950184227          0.1386103891          0.2628648792          0.2750334666         -0.1388752126         -0.0413368217         -0.2385821598          0.0557617055         -0.3458385464          0.0215258101         -0.2081652471         -0.0956021632          0.0795992529          0.2495921917          0.1595026513          0.8440434811          0.8444483272          0.8489373444          0.8325735737          0.8276312317          0.8449869878          0.8277801921          0.8290873346          5.5824099835          7.5710653209          5.8661918461          2.1679229688          3.8560566454          5.5780547988          7.4589712665          9.2429509257 
   2344         25.3146659117          5.5575686856          1.1592253946          9.3240341934          0.2112211073          0.3770293077          0.2875824861          0.6725258207          0.9109045524          0.9753201665          0.5325642834          0.6690225135          0.7326676509         -2.5058873252         -2.6473154032         -1.6191305849         -1.1374021419          0.1881180847          0.0928498019          0.2664903153         -0.0139936602          0.4187783363         -0.0631492042          0.4466864797          0.1314679522          0.2627222446          0.2877749902         -0.1517983016         -0.0400760303         -0.2652120406          0.0736817326         -0.3844514851          0.0304806073         -0.2327030775         -0.1059363454          0.0932560511          0.2811261006          0.1619071488          0.8288702100          0.8280481703          0.8465028431          0.8359902854          0.8477556868          0.8403851269          0.8369836968          0.8366780436          5.0751468746          9.5672096068          6.4277746845          7.8875138563         10.6839996348          3.3517337608          4.1212207472          8.6824672563 
   2345         25.3507828195          4.3904268639          3.0669790539         10.7623515266          0.3108858533          0.3820526829          0.6312045251          0.6818123862          0.9130770732          0.9272950000          0.5731510010          0.7693200809          0.6133865910         -2.1320682333         -3.8376578411         -1.3809738661         -1.1518002351          0.1724184790          0.0944945030          0.2099953438          0.0526093821          0.2965592520          0.0376402443          0.2950184227          0.1403422954          0.2611303358          0.2744727980         -0.1386412355         -0.0409168138         -0.2385821598          0.0557617055         -0.3471358815          0.0215159963         -0.2081652471         -0.0955378228          0.0786722067          0.2505185614          0.1614276755          0.8367880561          0.8283721297          0.8324365458          0.8326793686          0.8303696415          0.8400943569          0.8445217746          0.8415639852          6.6252052459         10.5767314943          3.0224416890          6.4262994788          6.5326929650          4.5543350467         11.3308390825          6.1251227142 
   2346         33.4865409770          4.7452001689          0.9420222224         10.3152070723          0.3757131628          0.4015106610          0.3329111297          0.6200246000          0.9634583172          0.9313401911          0.4018865069          0.5806932614          0.7432474647         -3.7722367391         -3.3675145180         -2.9446193061         -2.0024715114          0.1793432326          0.0792320378          0.3344030271         -0.0827587765          0.4517357328         -0.0488014103          0.3751680969          0.1448963180          0.2648181476          0.2501318798         -0.1505330453         -0.0449128806         -0.2586214918          0.0607566555         -0.3736520875          0.0212907103         -0.2259085423         -0.1036482768          0.0861540071          0.2719727494          0.1623341635          0.8480056918          0.8264381953          0.8363060244          0.8463625847          0.8318747615          0.8319490703          0.8350194913          0.8312068252         10.1372903351         11.7491478876          2.0197274485          5.4637753309          6.4700117658          7.7617436415         10.3728040424         10.8878433782 
   2347         39.1459278797          5.8987690830          5.1911019445          8.7954464940          0.1524317932          0.3921711091          0.5538707546          0.6022579466          0.9558741806          0.9374335660          0.4201017309          0.9654893069          0.7340622729         -3.6869710115         -2.4672605276         -2.6075066519         -2.4870490430          0.1838605470          0.0947437615          0.2604566010         -0.0136844191          0.4206860617         -0.0682904185          0.4414962827          0.1301503782          0.2704231395          0.2759709571         -0.1501988594         -0.0448003726         -0.2582019024          0.0603061416         -0.3727894068          0.0212088650         -0.2253955413         -0.1034143212          0.0859595397          0.2700911551          0.1609923066          0.8348854021          0.8439817323          0.8382601160          0.8266241568          0.8358525442          0.8274095842          0.8331886913          0.8273828499         11.4293703175          5.0213965641          6.9242475602          8.0811105023          9.6495534587          9.6567100483          5.8254257242          3.3314897433 
   2348         35.4777447760          5.6769186276          1.5029514431         10.9253848077          0.2289453242          0.4034254835          0.6322829050          0.6468174040          0.9564143659          0.9344115014          0.4709196088          0.8562615416          0.2497299256         -2.2958321747         -3.9831139485         -2.2583227988         -2.9547430295          0.1838605470          0.0947437615          0.2604566010         -0.0136844191          0.4223070144         -0.0682904185          0.4409389115          0.1307553117          0.2704231395          0.2755808217         -0.1501988594         -0.0460451927         -0.2582019024          0.0598491865         -0.3728018949          0.0211509966         -0.2268158716         -0.1034143212          0.0859595397          0.2700911551          0.1631341127          0.8481685154          0.8498378579          0.8456647012          0.8355187212          0.8406051341          0.8482066674          0.8304481050          0.8426067354          7.3352343958          9.6134921210          4.7486676996          7.3610672897          6.0717259585          4.3442606033         11.0096862754         11.1827711211 
   2349         33.5541406992          5.2041526516          1.3949376659         10.0707720732          0.3660286197          0.4193902280          0.6409083972          0.6663910313          0.9765775507          0.9386512523          0.4947496182          0.7313168118          0.1630267431         -3.7107510319         -2.7787590819         -1.9258333371         -1.4973611555          0.1836774344          0.0947437615          0.2604566010         -0.0136844191          0.4215102836         -0.0682904185          0.4414962827          0.1301503782          0.2704231395          0.2759650114         -0.1501988594         -0.0448003726         -0.2580168287          0.0603061416         -0.3727894068          0.0212088650         -0.2253955413         -0.1034143212          0.0859595397          0.2700911551          0.1596747430          0.8465703005          0.8392251389          0.8385287202          0.8439347060          0.8375404192          0.8424877895          0.8360329007          0.8400518869         11.6954892053          6.8931249571          6.2861091576          8.1762842755          6.4660010394          2.2004094895          7.9481693970          8.2804093511 
